raw_index,true_sentiment,encoded_sentiment,Feedback_Clean,svm_sentiment,svm_shap_top_features,bert_sentiment,bert_shap_top_tokens
15887,positive,2,terrific nice bottle,positive,"terrific, terrific nice, nice, bottle",positive," nice, rri, fic,  te,  bottle"
5521,neutral,1,nice product ok,neutral,"ok, product, nice, nice product, product ok",neutral," nice,  ok,  product"
9622,neutral,1,pretty good normal,neutral,"normal, good normal, pretty, pretty good, good",neutral," normal,  good,  pretty"
1984,negative,0,waste of money not charge well,negative,"waste, waste of, not charge, not, of money, money, charge, of, charge well, money not",negative," waste,  not,  well,  charge,  of,  money"
10028,neutral,1,decent product mat be very very thin material,neutral,"decent product, decent, thin, very, very thin, material, be very, mat, product, very very",neutral," decent,  mat,  product,  be,  material,  very,  thin,  very"
10499,neutral,1,valueformoney its a great product in this price range I love it,positive,"great product, great, love, range love, love it, range, valueformoney its, valueformoney, in, price",positive," love,  it,  great,  value,  range, form,  in,  this,  product,  a"
10015,neutral,1,really nice good but wifi be vik,neutral,"but, nice good, good but, really, wifi be, really nice, nice, wifi, but wifi, good",neutral," really,  but,  good,  nice,  w,  v, if,  be, ik, i"
11588,positive,2,classy product nice product by crompton value for money on flipkartquick delivery take just 2 daysprosexact dimension as show in product detailsbig water tank75lgood air throw sufficient for 200250 sqft roomwater pump swing can be run independently control be on the same knobwater pump be fix at the bottom so it do not bash around while movinginternal part like fan water pipe be well fittedside tray let extra water back in the water tankhoneycomb give a well cool,positive,"classy product, classy, well, product nice, for, value, like, in, well cool, let",positive," nice,  class, y,  product,  water,  product,  tank,  water,  by,  extra"
9351,neutral,1,nice just ok,neutral,"ok, just, nice just, nice, just ok",neutral," nice,  ok,  just"
8384,neutral,1,fair not bad,neutral,"fair, not bad, bad, fair not, not",neutral," not,  bad,  fair"
337,negative,0,horrible do not buy the machine and do not buy in flipkart because instalation demo they be do not come diffective product they give we think we will give but refund be not there refund be there return time aso over machine defective and stitch also diffectivelast time we order wash machinethat one also instalation demothey do not come instalation demo do not buy the machineand do not buy in flipkartwaste of money,negative,"not, do not, horrible, machine, also, give, time, return, they, defective",negative," horrible,  not,  do,  not,  defect, ive,  do,  over,  machine,  demo"
13700,positive,2,good quality product good,positive,"good, product good, quality product, product, good quality, quality",positive," good,  good,  quality,  product"
623,negative,0,utterly disappointed do not buy personal experience go for other,negative,"utterly, disappointed, utterly disappointed, experience, do not, not, disappointed do, for, buy, go for",negative," utterly,  disappointed,  not,  buy,  do,  experience,  go,  personal,  for,  other"
9342,neutral,1,nice average,neutral,"average, nice average, nice",neutral," average,  nice"
6451,neutral,1,just okay work fine but washing cycle be very lessand there be no more option for washingnormal wash cycle not at good wash,neutral,"but, just okay, okay, cycle, no, wash, just, more, cycle be, fine",neutral," okay,  just,  no,  not,  but,  good, nor,  fine,  less,  be"
14931,positive,2,great product good product,positive,"great product, great, product good, good, product, good product",positive," great,  good,  product,  product"
6538,neutral,1,good choice ok,neutral,"ok, good choice, good, choice ok, choice",neutral," good,  ok,  choice"
11051,positive,2,mindblowing purchase nice product,positive,"mindblowing, mindblowing purchase, purchase, purchase nice, nice, product, nice product",positive," nice, ing, b,  purchase,  mind, low,  product"
3267,negative,0,hat it not work properly,negative,"hat, hat it, not, properly, it not, it, work, not work, work properly",negative," not,  hat,  it,  properly,  work"
7492,neutral,1,good choice okay,neutral,"okay, good choice, good, choice, choice okay",neutral," good,  okay,  choice"
4806,negative,0,unsatisfactory take 3months ago and now this product be not work I do not know what to do next,negative,"unsatisfactory, not, do not, what, this product, know what, product be, take, now this, 3months",negative," un, sat, is,  not,  ago,  not, hs,  know, y,  what"
13415,positive,2,very good good but take time to 100 1hr20 mnt,neutral,"but, time to, good but, good good, very, take time, to 100, time, good, 100",neutral," very,  but,  good,  good, nt,  time,  take,  m, 20,  to"
709,negative,0,not recommend at all not good productit have noise issue,negative,"not, not good, not recommend, recommend at, at all, good, noise, issue, recommend, all",negative," issue,  not,  not,  noise,  recommend,  all,  have,  at,  product,  good"
5514,neutral,1,do the job heating issue with the product,neutral,"do the, the job, job, heating issue, with the, product, the product, with, do, issue",neutral," do,  issue,  job,  the,  heating,  the,  with,  product"
3436,negative,0,absolute rubbish very low volume,negative,"rubbish, absolute rubbish, low, absolute, very low, very, volume, rubbish very, low volume",negative," low,  rub, bish,  very,  volume,  absolute"
5363,negative,0,horrible I be order and 7 after this be dead,negative,"horrible, after, this be, dead, be dead, and after, be, be order, this, and",negative," horrible,  dead,  this,  after,  and,  order,  7,  I,  be,  be"
10982,positive,2,well in the market good,positive,"well in, the market, market, well, good, in the, in, market good, the",positive," good,  in,  well,  market,  the"
4723,negative,0,absolute rubbish bad product,negative,"rubbish, absolute rubbish, absolute, bad, bad product, product, rubbish bad",negative," bad,  rub, bish,  absolute,  product"
7436,neutral,1,fair acreage sond be very low,neutral,"fair, low, very, be very, sond be, sond, very low, be",neutral," fair,  low,  very,  be, d,  acre,  son, age"
8858,neutral,1,not good average,neutral,"average, not good, good average, good, not",neutral," average,  good,  not"
7414,neutral,1,wonderful all right,neutral,"wonderful, all right, right, wonderful all, all",neutral," wonderful,  right,  all"
3730,negative,0,do not waste your money very bad product not a single seed germinate after 10 day no worth to buy this product dnt waste money over this not happy with this product all my hard work be waste over this,negative,"waste, not, no, not happy, money, very bad, hard, waste money, waste your, your money",negative," not,  bad,  waste,  do,  not,  money,  waste, nt,  product,  10"
1527,negative,0,terrible product very bad,negative,"terrible product, terrible, bad, very bad, product very, very, product",negative," terrible,  bad,  very,  product"
5594,neutral,1,expect a well product average,neutral,"average, well, expect well, product, expect, product average, well product",neutral," average,  product,  well,  a,  expect"
9693,neutral,1,worth the money have not try yet,neutral,"money have, worth, money, the money, not try, yet, worth the, have, try, not",neutral," worth,  try,  not,  have,  money,  yet,  the"
14768,positive,2,pretty good good product,positive,"good, pretty, good good, product, pretty good, good product",positive," good,  good,  pretty,  product"
1267,negative,0,unsatisfactory it stop work after 5 day,negative,"unsatisfactory, stop, stop work, after, unsatisfactory it, day, it stop, after day, it, work after",negative," un,  stop, sat,  work,  day, is,  it,  after,  5, ctor"
8153,neutral,1,do the job average,neutral,"average, do the, the job, job, do, the, job average",neutral," average,  do,  job,  the"
8964,neutral,1,just okay 15 mint take to heat 10 ltr water,neutral,"just okay, okay, just, to heat, heat, 15, take to, water, 10, take",neutral," water,  okay,  just,  take,  l,  to,  15,  10,  heat,  mint"
6681,neutral,1,expect a well product to smal,neutral,"well, expect well, product, expect, smal, product to, well product, to",neutral,"mal,  s,  a,  well,  expect,  to,  product"
14007,positive,2,good quality product awesome product,positive,"awesome, awesome product, good, product, quality product, good quality, quality, product awesome",positive," awesome,  good,  quality,  product,  product"
1063,negative,0,very poor poor qualityv money,negative,"poor, very poor, money, very, poor poor",negative," poor,  poor,  quality,  very,  money, v"
14856,positive,2,well in the market superb nd excellent,positive,"excellent, superb, well in, the market, market, well, in the, in, nd, market superb",positive," excellent,  superb,  n,  market,  in,  well, d,  the"
4941,negative,0,could be way well it be not good have problem in every 10 day waste of money face so much problem technician also not answer to get it fix,negative,"problem, not good, waste, not, waste of, well it, of money, also, get, to get",negative," waste,  not,  it,  be,  good,  problem,  not,  well,  problem,  could"
9891,neutral,1,could be way well dish be too small in size could have a little large,neutral,"little, small, well, size could, dish, size, could have, in, small in, in size",neutral," way,  little,  be,  well,  could,  too,  a,  could,  size,  be"
2735,negative,0,do not waste your money company be make fool two year warranty be only for motor all other part will be pay by buyer in warranty period stop work due to poor quality part in just five month its motor be 1000 watt but internal mechanical part be not too strong to handle this power a little bit over load will cost you minimum 200 rupee and two day wait for repair,negative,"poor, part, motor, warranty, stop, waste, internal, not too, poor quality, stop work",negative," waste,  poor,  not,  do,  work,  two,  stop,  repair,  warrant,  period"
10101,neutral,1,nice simple product,neutral,"simple, simple product, nice simple, product, nice",neutral," nice,  product,  simple"
14523,positive,2,good quality product very good product,positive,"good, product very, product, quality product, very good, good quality, very, good product, quality",positive," good,  very,  good,  quality,  product,  product"
327,negative,0,unsatisfactory the heating not work display not work and faltu produce,negative,"unsatisfactory, not, produce, display not, heating, unsatisfactory the, and, work, not work, faltu",negative," un, is,  not,  not, sat, fa,  work,  and,  produce,  heating"
4562,negative,0,hat it suddenly stop work and show either file be corrupt or not accessible my all precious datum and time involve in will go into vein,negative,"hat, hat it, stop, stop work, show, suddenly, time, or not, file, into",negative," hat,  corrupt,  stop,  it,  suddenly,  show,  work,  either,  file,  be"
12953,positive,2,highly recommend my son very happy,positive,"highly, highly recommend, happy, recommend, my, very happy, son, my son, very",positive," happy,  my,  recommend,  very,  son,  highly"
225,negative,0,worthless this product bad iam use 55 in chest tv in 20 day the plug wire burn,negative,"worthless, bad, product bad, day the, tv, day, this product, burn, iam, worthless this",negative," worthless,  bad,  this,  product, am,  t,  in,  55, v,  burn"
10686,neutral,1,nice product ok,neutral,"ok, product, nice, nice product, product ok",neutral," nice,  ok,  product"
12132,positive,2,awesome very nice kushan,positive,"awesome, very nice, awesome very, nice, very",positive," awesome,  nice,  very, an, ush,  k"
14413,positive,2,highly recommend good and good quality product,positive,"highly, highly recommend, good, recommend, and good, good and, and, quality product, recommend good, product",positive," good,  good,  product,  highly,  recommend,  quality,  and"
1996,negative,0,utterly disappoint bad quality,negative,"utterly, disappoint, utterly disappoint, bad, disappoint bad, bad quality, quality",negative," bad,  di,  utterly, sa, pp, oint,  quality"
1838,negative,0,could be way well it be not a good product I be use it and not satisfied with this product it be work like a local product,negative,"not good, not, not satisfied, it be, well it, and not, it, be, product, this product",negative," not,  satisfied,  not,  product,  a,  it,  be,  product,  this,  product"
6161,neutral,1,nice nothing,neutral,"nice nothing, nice, nothing",neutral," nice,  nothing"
10568,neutral,1,expect a well product just average,neutral,"average, well, expect well, just, product just, just average, product, expect, well product",neutral," average,  a,  well,  just,  product,  expect"
15238,positive,2,brilliant great produuct,positive,"brilliant, great, brilliant great",positive," great,  brilliant, uc,  pro, t, du"
4819,negative,0,worthless payment issueafter return period it will start to deduct more than actual value if you buy on credit card,negative,"worthless, return, if, period, value, start, if you, more, than, buy",negative," worthless,  de,  will,  it,  to, duct,  issue,  start,  payment,  return"
951,negative,0,do not waste your money hdmi not support,negative,"not, waste, support, waste your, your money, do not, your, not waste, not support, money",negative," not,  waste,  support,  do,  not,  money, mi,  your, d,  h"
6292,neutral,1,very good quality be okk,neutral,"okk, very, good quality, quality, be okk, good, very good, be, quality be",neutral," ok,  very, k,  be,  quality,  good"
15089,positive,2,wonderful nice,positive,"wonderful, wonderful nice, nice",positive," nice,  wonderful"
13397,positive,2,wonderful its very cool lit well inside the room I click this picture during afternoon still lit wellyou can use for photography as well I buy 100mtr so yes its long enough look very small when tie and that s a plus point its be 3months I have be use its worth the price in comparison with the normal lead light which we use during diwali,positive,"wonderful, well, look very, its be, worth, the price, normal, use, very small, during",positive," wonderful,  its,  very,  photography,  well,  cool, yo,  inside,  lit,  well"
11816,positive,2,just wow great product,positive,"wow, great product, just wow, great, product, wow great, just",positive," great,  w, ow,  just,  product"
15693,positive,2,well in the market good,positive,"well in, the market, market, well, good, in the, in, market good, the",positive," good,  in,  well,  market,  the"
3079,negative,0,very poor order for 64 gb mamory card but find it be actually gb onlyshow in mob what should be donehelp I by replace it,neutral,"but, poor, replace it, very poor, it, by, should, what, order, very",negative," poor,  64,  order, b,  ma,  very, y,  but,  card,  find"
4836,negative,0,do not waste your money very bad quality,negative,"waste, bad, very bad, not, waste your, do not, your money, your, not waste, money",negative," bad,  waste,  not,  do,  very,  your,  money,  quality"
10241,neutral,1,fair screen cast not work properly,neutral,"fair, cast, cast not, properly, not work, work, screen, not, screen cast, work properly",neutral," fair,  not,  properly,  cast,  work,  screen"
12794,positive,2,terrific very very very good purduct,positive,"terrific, good, terrific very, very, very very, very good",positive," good, fic, rri,  very,  very, uc,  pu,  very, t, rd"
3602,negative,0,could be way well poor qualitymost of the kit do not have reagent,negative,"poor, kit do, not have, do not, not, well poor, of, way, could, be way",negative," poor,  not,  quality,  could, nt,  well,  have,  way,  do,  of"
6634,neutral,1,nice average rating,neutral,"average, nice average, nice, average rating, rating",neutral," nice,  average,  rating"
9046,neutral,1,fair good not for gaming,neutral,"fair, not for, good not, gaming, good, not, for, for gaming, fair good",neutral," fair,  gaming,  for,  good,  not"
4883,negative,0,worthless its a ridiculous pathetic experience to order online product with filpkart,negative,"worthless, pathetic, experience, online, worthless its, to order, order, with, product, filpkart",negative," worthless,  ridiculous,  pathetic,  its,  product, t,  experience,  order,  online,  a"
4565,negative,0,terrible product demage product,negative,"terrible product, terrible, product, demage",negative," terrible, age,  dem,  product,  product"
5164,negative,0,waste of money betar,negative,"waste, waste of, of money, money, of",negative," waste,  of,  money,  beta, r"
1388,negative,0,build quality be not good poor quality of jar and cap build quality be not good low quality jar head bottom plastic and steel mixture life up to 6 month,negative,"not good, poor, low, good, not, jar, low quality, poor quality, quality of, quality be",negative," poor,  6,  not,  quality,  good,  quality,  good,  low,  not,  mixture"
13535,positive,2,just wow comfortable very nice athletic man can use,positive,"wow, just wow, very nice, man, can use, comfortable, can, use, nice, just",positive,"ow,  nice,  w,  very,  comfortable,  just,  use,  can,  athletic,  man"
5140,negative,0,hat it not work,negative,"hat, hat it, not, it not, it, work, not work",negative," not,  it,  work,  hat"
9428,neutral,1,bad quality average,neutral,"average, bad, quality average, bad quality, quality",neutral," bad,  average,  quality"
11670,positive,2,worth every penny good cool minimum power consumption over all good,positive,"worth every, good, worth, every penny, penny, every, over, over all, all good, all",positive," every,  good,  penny,  worth,  cool,  minimum,  power,  good,  consumption,  all"
6386,neutral,1,fair it be nice work but 5 min use high heat produce,neutral,"fair, but, produce, work but, be nice, high, heat, it, nice, fair it",neutral," but,  nice,  fair,  min,  5,  high,  be,  produce,  heat,  use"
7256,neutral,1,good choice good in performance but cooling be not sufficient for top level gaming and also mention as quad core but cpu be an hexa core,neutral,"but, choice good, also, core, performance, and, an, gaming and, mention, and also",neutral," good,  but,  choice,  good,  but,  not,  gaming,  level,  be,  top"
9153,neutral,1,nice ok,neutral,"ok, nice ok, nice",neutral," ok,  nice"
8130,neutral,1,nice very soft and light,neutral,"very soft, light, soft and, and, very, nice, and light, nice very, soft",neutral," nice,  light,  and,  soft,  very"
12554,positive,2,excellent very nice oil,positive,"excellent, very nice, excellent very, oil, nice, very",positive," excellent,  nice,  very,  oil"
6061,neutral,1,just okay review after first use I have a tile floor at my home so I decide to get a flat mop instead of the round one the dry section can be a bit tricky at first but you get the hang of it once you actually use it you have to apply pressure while insert in the dry section because that s how its go to dry few problem I face and would like to highlight upon be 1 the white material attach the mop handle with the mop head be make up of really cheap quality plastic compare t,neutral,"just okay, but, okay, get, problem, it, of, cheap, to get, section",neutral," okay,  just,  but,  bit,  how,  s,  so,  a,  compare,  plastic"
895,negative,0,bad experience ever verry bad product,negative,"bad, experience ever, ever, bad experience, experience, bad product, verry bad, verry, product",negative," bad,  bad,  ever,  experience,  product, rry,  ve"
202,negative,0,slightly disappointed mixture grinder look very good motor also good but masala unable to do fine grain paste very bad quality paste that can not use in cooking purpose I try to paste ginger with garlic more time try but unable to paste fine grain I be totally disappointed with this priduct,neutral,"but, disappointed, paste, look very, good but, fine, very, not use, also, use in",negative," bad,  unable,  disappointed,  disappointed,  I,  not,  unable,  good,  use,  cooking"
6406,neutral,1,good some update require be not work properly for track health activity,neutral,"good some, require, update, properly, not work, work, be not, some, track, good",neutral," good,  not,  properly,  some,  activity,  be,  work,  for,  track,  health"
14998,positive,2,highly recommend superb productsame as show n quality be awesomel be so happy,positive,"highly, superb, highly recommend, happy, be so, recommend, show, as, so happy, be",positive," awesome,  superb,  happy,  highly,  be, l,  recommend,  so,  be,  n"
7364,neutral,1,do the job very small not have root,neutral,"do the, the job, job, small, very small, very, not have, small not, have, do",neutral," job,  root,  not,  small,  the,  do,  have,  very"
4492,negative,0,unsatisfactory most of the balloon be damage and rest be pop within 34 minute quality of balloon be very bad waste of money on this product,negative,"unsatisfactory, damage, waste, waste of, of, very bad, of money, bad, quality of, within",negative," waste,  un,  bad, is,  of, sat,  be,  damage,  very,  this"
4682,negative,0,utterly disappointed pls do not buy it not good for hard tennis ball handle crake,negative,"utterly, not, not good, disappointed, utterly disappointed, hard, do not, good, for, tennis",negative," not,  utterly,  not,  disappointed,  good, ls,  buy,  it,  handle,  do"
15821,positive,2,just wow nice,positive,"wow, just wow, nice, wow nice, just",positive," nice,  w, ow,  just"
11435,positive,2,brilliant super good,positive,"super, brilliant, super good, good, brilliant super",positive," brilliant,  super,  good"
12850,positive,2,perfect product super,positive,"super, perfect, perfect product, product super, product",positive," super,  perfect,  product"
15706,positive,2,great product value for money,positive,"great product, great, value, value for, for, product value, for money, product, money",positive," great,  value,  product,  for,  money"
2435,negative,0,do not meet expectation all product very cheap quality,negative,"meet expectation, not meet, not, very cheap, do not, meet, expectation, cheap quality, product very, all",negative," not,  do,  meet,  expectation,  quality,  product,  all,  cheap,  very"
4974,negative,0,do not waste your money bad product,negative,"waste, bad, not, do not, waste your, your money, your, not waste, money, bad product",negative," bad,  waste,  not,  do,  product,  your,  money"
7934,neutral,1,good ok,neutral,"ok, good ok, good",neutral," ok,  good"
2790,negative,0,useless product the rod break with in a month very delicate,negative,"useless, useless product, break, in month, rod break, very delicate, delicate, rod, product the, with in",negative," useless,  product,  break,  the,  with,  rod,  in,  delicate,  a,  month"
8082,neutral,1,decent product the medium jar be not work properly and water be leak from the jar,neutral,"decent product, decent, medium, from, jar, product the, from the, and, properly and, properly",neutral," decent,  not,  product,  properly,  the,  the,  work,  water,  be,  and"
10044,neutral,1,decent product I order it again and get only 14 light green n 18 dark green balloonshow dare to send less item in parcelother thing be here but send same quantity which show in the app,neutral,"decent product, but, decent, item, light, in, get, only, send, and",neutral," decent,  but,  I,  get,  order,  it, how,  product,  send,  parcel"
3797,negative,0,horrible heating issue I use it for 1 minute and its get heat very quickly I can not even hold this thing because of the heating issue,negative,"horrible, heating issue, issue, heating, get, can, and its, even, for, this thing",negative," horrible,  issue,  issue,  it,  not,  its,  1,  very,  minute,  I"
12108,positive,2,really nice work fine I be give 4 star only for a reason there s no way to stop charge process if user wish to,negative,"no, nice, stop, process, really nice, fine, give, charge, really, if",neutral," really,  fine,  give,  s,  reason,  work,  star,  only,  no,  be"
5694,neutral,1,fair avarage,neutral,"fair, avarage, fair avarage",neutral," a,  fair, var, age"
12654,positive,2,valueformoney good,positive,"valueformoney good, good, valueformoney",positive," good, oney,  value, form"
3327,negative,0,not recommend at all buttery life be very bad,negative,"not recommend, recommend at, bad, at all, very bad, not, recommend, all, very, life",negative," bad,  not,  recommend,  very,  at, y,  life,  butter,  be,  all"
7158,neutral,1,just okay not bad not good,neutral,"not bad, just okay, okay, not good, bad, just, bad not, not, okay not, good",neutral," okay,  good,  bad,  not,  not,  just"
10848,positive,2,simply awesome good curtain in this pricelooke awesomesuper stylish designthank flipkart,positive,"awesome, simply, simply awesome, stylish, curtain, awesome good, good, in, flipkart, this",positive," awesome,  awesome, su, lish, ty, per,  s, kar, look,  price"
11313,positive,2,simply awesome good quality show I be use,positive,"awesome, simply, simply awesome, good, awesome good, show, use, good quality, be use, be",positive," awesome,  good,  use,  be,  quality,  simply,  show,  I"
7088,neutral,1,not good average,neutral,"average, not good, good average, good, not",neutral," average,  good,  not"
10598,neutral,1,good quality product good to use sturdy but not so weight I be happy that I have do a good job,positive,"good, happy, but, product good, job, to use, good to, be happy, do, that",positive," happy,  not,  good,  good,  but,  product,  be,  sturdy,  use,  good"
13966,positive,2,worth every penny thank,positive,"thank, worth every, worth, every penny, penny, every, penny thank",positive," thank,  every,  penny,  worth"
7594,neutral,1,nice bass effect need some more,neutral,"more, bass, nice, effect, some more, some, need, bass effect, need some, nice bass",neutral," nice,  bass,  some,  effect,  more,  need"
768,negative,0,do not waste your money bad seller n bad product n bad flipkart service u can not do anything if the product do not work never purchase cartridge from flipkart bad experience no refund nothing loss of money that s all,negative,"bad, not, no, product do, waste, do not, bad experience, money, nothing, experience",negative," bad,  not,  bad,  product,  no,  u,  bad,  experience,  waste, kar"
11936,positive,2,good quality product its very fabulous and beautiful thank you flipkart,positive,"fabulous, thank, beautiful, and, you flipkart, its very, good, flipkart, quality product, product its",positive," beautiful,  f, abulous,  thank,  good,  flip, kar,  very,  quality,  and"
1059,negative,0,absolute rubbish very small size,negative,"rubbish, absolute rubbish, absolute, small, very, size, small size, rubbish very, very small",negative," rub, bish,  small,  absolute,  very,  size"
16097,positive,2,perfect product nice,positive,"perfect, perfect product, product nice, nice, product",positive," nice,  perfect,  product"
4249,negative,0,worthless do not buy this productit too small in sizelike kid toyif u try to return thisthey will refuse I m totally dispointe,negative,"worthless, return, small, do not, totally, not, buy this, to return, kid, small in",negative," worthless,  not,  too,  this,  u,  do,  di, it,  small,  kid"
10352,neutral,1,just okay average,neutral,"average, okay, just okay, just, okay average",neutral," just,  average,  okay"
13912,positive,2,terrific purchase very nice quality,positive,"terrific, very nice, purchase, terrific purchase, nice quality, purchase very, nice, very, quality",positive," nice, rri, fic,  quality,  purchase,  very,  te"
15523,positive,2,super nic,positive,"super, nic",positive," super,  ni, c"
16072,positive,2,pretty good package in good condition I m sure the product be fine thank to the delivery boy for his kind well manner,positive,"thank, good, product be, fine, well, thank to, delivery, for, his, pretty",positive," good,  thank,  pretty,  good,  condition,  fine,  product,  package,  I,  the"
7281,neutral,1,do the job okay,neutral,"okay, do the, the job, job, do, the, job okay",neutral," okay,  do,  job,  the"
6014,neutral,1,not good small size,neutral,"not good, small, size, good small, good, not, small size",neutral," good,  small,  not,  size"
5261,negative,0,worthless bad product this charger be not work,negative,"worthless, bad, not, charger be, charger, bad product, worthless bad, this, be not, this charger",negative," worthless,  bad,  this,  product,  not,  be,  charge,  work, r"
9000,neutral,1,fair ok,neutral,"fair, ok, fair ok",neutral," ok,  fair"
10518,neutral,1,nice its my first time for use these type of cloth its show as picture but all the 10 clothe size be different orange be small be size and a sky blue be the large,neutral,"but, as picture, show as, small, size, different, and, all, be the, my",neutral," nice,  time,  but,  its,  my,  show,  a,  cloth,  type,  sky"
5519,neutral,1,good quality be not good well go with other variant,positive,"good, good well, well, not, not good, be not, go with, go, with, good quality",neutral," good,  good,  not,  well,  go,  other,  with,  variant,  quality,  be"
7430,neutral,1,do the job thare have not much port but another android box have much port for operate,neutral,"but, do the, the job, job, much, box, android, port, have, another",neutral," job,  do,  port,  but,  operate,  much,  for,  much,  port,  th"
13813,positive,2,worth the money nice one but need a little well finish very soft the sponge amount inside d cushion be little less but ok to use,neutral,"but, money nice, little, very soft, ok, well, inside, worth, little well, to use",neutral," but,  but,  ok,  cushion,  worth,  little,  use,  to,  one,  little"
14465,positive,2,just wow its nice,positive,"wow, just wow, its nice, wow its, nice, just, its",positive," nice,  w, ow,  just,  its"
9960,neutral,1,valueformoney ok,neutral,"ok, valueformoney, valueformoney ok",neutral," ok, oney,  value, form"
10527,neutral,1,really nice work as expect,neutral,"really, really nice, work as, nice, expect, as, work, nice work, as expect",neutral," really,  nice,  work,  as,  expect"
9843,neutral,1,good quality product superb but costly,neutral,"but, superb, costly, quality product, but costly, superb but, product, product superb, good quality, quality",positive," superb,  but,  good,  product,  quality,  costly"
